"","State","Male Cases","Male Deaths","Female Cases","Female Deaths","Total Cases","Total Deaths","populations"
"1","Andaman and Nicobar Islands","37245","2","31906","1","69151","3",380581
"2","Andhra Pradesh","1611413","134","1477877","102","3089290","236",49577103
"3","Arunachal Pradesh","24895","4","23707","5","48602","9",1383727
"4","Assam","194341","0","120483","0","314824","0",31205576
"5","Bihar","48475","0","39011","0","87486","0",104099452
"6","Chandigarh","24723","0","24926","0","49649","0",1055450
"7","Chhattisgarh","80452","14","75291","4","155743","18",25545198
"8","Dadra and Nagar Haveli","49156","0","55291","0","104447","0",343709
"9","Daman and Diu","23985","0","18365","0","42350","0",243247
"10","Goa","30925","5","30104","1","61029","6",1458545
"11","Gujarat","309099","0","294977","0","604076","0",60439692
"12","Haryana","614871","34","660164","14","1275035","48",25351462
"13","Himachal Pradesh","725574","101","758575","53","1484149","154",6864602
"14","India","13317662","1586","12982546","906","26300208","2492",1210569573
"15","Jammu and Kashmir","279405","2","249004","4","528409","6",12267032
"16","Jharkhand","109697","3","95799","2","205496","5",32988134
"17","Karnataka","825980","139","804017","43","1629997","182",61095297
"18","Kerala","2313659","87","2720847","41","5034506","128",33406061
"19","Lakshadweep","16174","0","11955","0","28129","0",64473
"20","Madhya Pradesh","305592","105","273191","77","578783","182",72626809
"21","Maharashtra","293532","22","278415","6","571947","28",112374333
"22","Meghalaya","128951","5","166195","0","295146","5",2966889
"23","Mizoram","13032","19","13785","14","26817","33",1097206
"24","Nagaland","23740","0","24826","0","48566","0",1978502
"25","Odisha","791764","167","580444","102","1372208","269",41974219
"26","Puducherry","324221","1","330663","1","654884","2",1247953
"27","Punjab","323184","7","333360","3","656544","10",27743338
"28","Rajasthan","597325","42","492315","20","1089640","62",68548437
"29","Sikkim","44449","7","48287","5","92736","12",610577
"30","Tamil Nadu","1174280","12","1235934","10","2410214","22",72147030
"31","Tripura","83161","78","77277","57","160438","135",3673917
"32","Uttar Pradesh","658693","118","525299","78","1183992","196",199812341
"33","Uttarakhand","68488","46","61795","10","130283","56",10086292
"34","West Bengal","1038532","324","953128","204","1991660","528",91276115
