"","State","PM2.5_ug_m3"
"14","Andaman and Nicobar",25.2
"38","Andhra Pradesh",32
"62","Arunachal Pradesh",16.6
"86","Assam",32.7
"110","Bihar",90.9
"134","Chandigarh",49.8
"158","Chhattisgarh",58.7
"182","Dadra and Nagar Haveli",31.3
"206","Daman and Diu",31.7
"230","Goa",31.3
"254","Gujarat",42.9
"278","Haryana",95.7
"302","Himachal Pradesh",31
"326","Jammu and Kashmir",35.2
"350","Jharkhand",63.9
"374","Karnataka",30.3
"398","Kerala",21
"422","Lakshadweep",27.2
"446","Madhya Pradesh",53.7
"470","Maharashtra",40.4
"494","Manipur",33.4
"518","Meghalaya",34.4
"542","Mizoram",39.9
"566","Nagaland",28.1
"590","Delhi",135.7
"614","Odisha",43.5
"638","Puducherry",25.8
"662","Punjab",74.8
"686","Rajasthan",65.2
"710","Sikkim",36.9
"734","Tamil Nadu",30.4
"758","Telangana",34.5
"782","Tripura",64.6
"806","Uttar Pradesh",98.7
"830","Uttarakhand",44.4
"854","West Bengal",62.3
